,news_media,positive,neutral,negative,compound,create_date,tweets_ago
42,CBS,0.105,0.742,0.153,-0.2748,2018-08-05 20:58:52+00:00,-42
43,CBS,0.0,1.0,0.0,0.0,2018-08-05 20:56:17+00:00,-43
44,CBS,0.0,0.875,0.125,-0.4588,2018-08-05 20:10:33+00:00,-44
45,CBS,0.0,1.0,0.0,0.0,2018-08-05 19:43:38+00:00,-45
46,CBS,0.0,1.0,0.0,0.0,2018-08-05 19:22:22+00:00,-46
47,CBS,0.204,0.796,0.0,0.6249,2018-08-05 19:21:28+00:00,-47
48,CBS,0.098,0.823,0.079,0.1384,2018-08-05 19:16:45+00:00,-48
49,CBS,0.0,1.0,0.0,0.0,2018-08-05 19:15:53+00:00,-49
50,CBS,0.182,0.818,0.0,0.4588,2018-08-05 18:54:24+00:00,-50
51,CBS,0.0,1.0,0.0,0.0,2018-08-05 18:01:09+00:00,-51
52,CBS,0.0,1.0,0.0,0.0,2018-08-05 17:55:07+00:00,-52
53,CBS,0.0,1.0,0.0,0.0,2018-08-05 17:51:13+00:00,-53
54,CBS,0.0,1.0,0.0,0.0,2018-08-05 17:47:01+00:00,-54
55,CBS,0.073,0.853,0.074,-0.0018,2018-08-05 17:39:48+00:00,-55
56,CBS,0.0,1.0,0.0,0.0,2018-08-05 17:28:37+00:00,-56
57,CBS,0.182,0.599,0.219,-0.0602,2018-08-05 17:28:03+00:00,-57
58,CBS,0.16,0.735,0.105,0.1761,2018-08-05 17:27:46+00:00,-58
59,CBS,0.123,0.767,0.11,0.1027,2018-08-05 17:27:41+00:00,-59
60,CBS,0.13,0.746,0.123,0.0498,2018-08-05 17:27:31+00:00,-60
61,CBS,0.182,0.818,0.0,0.6114,2018-08-05 14:47:12+00:00,-61
62,CBS,0.083,0.917,0.0,0.2263,2018-08-04 22:57:37+00:00,-62
63,CBS,0.0,1.0,0.0,0.0,2018-08-04 00:24:55+00:00,-63
64,CBS,0.24,0.76,0.0,0.6124,2018-08-03 22:34:08+00:00,-64
65,CBS,0.469,0.531,0.0,0.9098,2018-07-31 21:02:33+00:00,-65
66,CBS,0.124,0.876,0.0,0.34,2018-07-28 16:43:56+00:00,-66
67,CBS,0.187,0.813,0.0,0.5707,2018-07-25 17:25:36+00:00,-67
68,CBS,0.0,1.0,0.0,0.0,2018-07-25 15:12:31+00:00,-68
69,CBS,0.118,0.882,0.0,0.34,2018-07-25 01:05:03+00:00,-69
70,CBS,0.068,0.834,0.099,-0.1511,2018-07-24 18:54:14+00:00,-70
71,CBS,0.34,0.66,0.0,0.8293,2018-07-23 21:30:33+00:00,-71
72,CBS,0.073,0.927,0.0,0.128,2018-07-22 01:56:13+00:00,-72
73,CBS,0.0,0.891,0.109,-0.296,2018-07-21 00:55:28+00:00,-73
74,CBS,0.0,0.891,0.109,-0.296,2018-07-21 00:19:12+00:00,-74
75,CBS,0.0,0.736,0.264,-0.7964,2018-07-21 00:10:00+00:00,-75
76,CBS,0.0,0.82,0.18,-0.6597,2018-07-20 23:44:54+00:00,-76
77,CBS,0.095,0.905,0.0,0.3182,2018-07-20 22:29:36+00:00,-77
78,CBS,0.0,1.0,0.0,0.0,2018-07-20 21:39:09+00:00,-78
79,CBS,0.0,1.0,0.0,0.0,2018-07-20 15:08:23+00:00,-79
80,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:55:25+00:00,-80
81,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-81
82,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-82
83,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-83
84,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-84
85,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:29+00:00,-85
86,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-86
87,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-87
88,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-88
89,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-89
90,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-90
91,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:28+00:00,-91
92,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:27+00:00,-92
93,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:27+00:00,-93
94,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:27+00:00,-94
95,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:27+00:00,-95
96,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:27+00:00,-96
97,CBS,0.0,1.0,0.0,0.0,2018-07-17 17:22:26+00:00,-97
98,CBS,0.3,0.7,0.0,0.807,2018-07-17 17:22:26+00:00,-98
99,CBS,0.078,0.922,0.0,0.1139,2018-07-13 21:35:01+00:00,-99
0,CNN,0.0,0.837,0.163,-0.5719,2018-08-13 18:10:05+00:00,0
1,CNN,0.0,0.814,0.186,-0.6249,2018-08-13 18:00:00+00:00,-1
2,CNN,0.0,1.0,0.0,0.0,2018-08-13 17:54:00+00:00,-2
3,CNN,0.0,1.0,0.0,0.0,2018-08-13 17:45:11+00:00,-3
4,CNN,0.158,0.69,0.153,0.0258,2018-08-13 17:33:59+00:00,-4
5,CNN,0.0,0.876,0.124,-0.34,2018-08-13 17:23:06+00:00,-5
6,CNN,0.0,1.0,0.0,0.0,2018-08-13 17:13:00+00:00,-6
7,CNN,0.0,0.702,0.298,-0.7783,2018-08-13 17:04:30+00:00,-7
8,CNN,0.0,0.802,0.198,-0.6369,2018-08-13 16:50:09+00:00,-8
9,CNN,0.0,1.0,0.0,0.0,2018-08-13 16:40:00+00:00,-9
10,CNN,0.139,0.652,0.209,-0.1531,2018-08-13 16:34:13+00:00,-10
11,CNN,0.129,0.762,0.11,0.1027,2018-08-13 16:20:00+00:00,-11
12,CNN,0.184,0.816,0.0,0.3818,2018-08-13 16:10:08+00:00,-12
13,CNN,0.0,0.821,0.179,-0.34,2018-08-13 16:10:07+00:00,-13
14,CNN,0.145,0.855,0.0,0.5267,2018-08-13 16:00:22+00:00,-14
15,CNN,0.0,0.772,0.228,-0.7351,2018-08-13 15:50:08+00:00,-15
16,CNN,0.0,0.83,0.17,-0.5994,2018-08-13 15:40:06+00:00,-16
17,CNN,0.0,0.859,0.141,-0.5574,2018-08-13 15:30:00+00:00,-17
18,CNN,0.188,0.812,0.0,0.5719,2018-08-13 15:20:00+00:00,-18
19,CNN,0.13,0.87,0.0,0.2023,2018-08-13 15:10:09+00:00,-19
20,CNN,0.0,0.863,0.137,-0.4019,2018-08-13 15:00:13+00:00,-20
21,CNN,0.331,0.669,0.0,0.8126,2018-08-13 14:50:42+00:00,-21
22,CNN,0.148,0.852,0.0,0.5106,2018-08-13 14:33:01+00:00,-22
23,CNN,0.0,0.779,0.221,-0.6597,2018-08-13 14:22:24+00:00,-23
24,CNN,0.0,1.0,0.0,0.0,2018-08-13 14:10:11+00:00,-24
25,CNN,0.0,0.833,0.167,-0.5267,2018-08-13 14:07:00+00:00,-25
26,CNN,0.0,1.0,0.0,0.0,2018-08-13 13:51:08+00:00,-26
27,CNN,0.114,0.886,0.0,0.4019,2018-08-13 13:40:09+00:00,-27
28,CNN,0.139,0.625,0.236,-0.25,2018-08-13 13:34:11+00:00,-28
29,CNN,0.145,0.855,0.0,0.5267,2018-08-13 13:24:33+00:00,-29
30,CNN,0.141,0.859,0.0,0.3182,2018-08-13 13:11:39+00:00,-30
31,CNN,0.139,0.652,0.209,-0.1531,2018-08-13 12:58:38+00:00,-31
32,CNN,0.0,1.0,0.0,0.0,2018-08-13 12:50:11+00:00,-32
33,CNN,0.344,0.656,0.0,0.6369,2018-08-13 12:40:41+00:00,-33
34,CNN,0.0,0.809,0.191,-0.6705,2018-08-13 12:19:58+00:00,-34
35,CNN,0.0,0.702,0.298,-0.7783,2018-08-13 12:04:16+00:00,-35
36,CNN,0.101,0.899,0.0,0.2023,2018-08-13 11:53:30+00:00,-36
37,CNN,0.0,0.681,0.319,-0.8176,2018-08-13 11:47:44+00:00,-37
38,CNN,0.0,1.0,0.0,0.0,2018-08-13 11:30:18+00:00,-38
39,CNN,0.0,0.873,0.127,-0.4939,2018-08-13 11:27:05+00:00,-39
40,CNN,0.0,0.772,0.228,-0.7351,2018-08-13 11:20:06+00:00,-40
41,CNN,0.0,1.0,0.0,0.0,2018-08-13 11:10:05+00:00,-41
42,CNN,0.0,0.802,0.198,-0.4939,2018-08-13 11:00:03+00:00,-42
43,CNN,0.0,0.83,0.17,-0.5994,2018-08-13 10:50:07+00:00,-43
44,CNN,0.068,0.932,0.0,0.0258,2018-08-13 10:45:00+00:00,-44
45,CNN,0.0,1.0,0.0,0.0,2018-08-13 10:36:23+00:00,-45
46,CNN,0.194,0.806,0.0,0.5574,2018-08-13 10:24:41+00:00,-46
47,CNN,0.259,0.536,0.205,0.1531,2018-08-13 10:17:41+00:00,-47
48,CNN,0.0,0.818,0.182,-0.4404,2018-08-13 10:14:50+00:00,-48
49,CNN,0.174,0.826,0.0,0.2263,2018-08-13 10:08:11+00:00,-49
50,CNN,0.123,0.749,0.128,-0.0258,2018-08-13 10:02:50+00:00,-50
51,CNN,0.344,0.656,0.0,0.6369,2018-08-13 09:54:34+00:00,-51
52,CNN,0.15,0.85,0.0,0.3182,2018-08-13 09:46:26+00:00,-52
53,CNN,0.0,0.615,0.385,-0.8176,2018-08-13 09:34:42+00:00,-53
54,CNN,0.277,0.538,0.185,0.296,2018-08-13 09:20:55+00:00,-54
55,CNN,0.0,0.809,0.191,-0.6705,2018-08-13 09:10:39+00:00,-55
56,CNN,0.0,0.765,0.235,-0.6012,2018-08-13 09:04:06+00:00,-56
57,CNN,0.146,0.606,0.247,-0.25,2018-08-13 08:52:42+00:00,-57
58,CNN,0.253,0.505,0.242,0.0258,2018-08-13 08:41:26+00:00,-58
59,CNN,0.0,1.0,0.0,0.0,2018-08-13 08:30:15+00:00,-59
60,CNN,0.0,0.702,0.298,-0.7783,2018-08-13 08:10:08+00:00,-60
61,CNN,0.0,1.0,0.0,0.0,2018-08-13 07:59:58+00:00,-61
62,CNN,0.067,0.717,0.215,-0.5106,2018-08-13 07:42:01+00:00,-62
63,CNN,0.12,0.687,0.193,-0.1779,2018-08-13 07:28:06+00:00,-63
64,CNN,0.0,1.0,0.0,0.0,2018-08-13 07:10:06+00:00,-64
65,CNN,0.0,1.0,0.0,0.0,2018-08-13 07:02:00+00:00,-65
66,CNN,0.216,0.619,0.165,0.25,2018-08-13 06:49:08+00:00,-66
67,CNN,0.0,1.0,0.0,0.0,2018-08-13 06:28:04+00:00,-67
68,CNN,0.0,1.0,0.0,0.0,2018-08-13 06:21:43+00:00,-68
69,CNN,0.0,0.772,0.228,-0.7351,2018-08-13 05:56:36+00:00,-69
70,CNN,0.0,0.855,0.145,-0.296,2018-08-13 05:14:05+00:00,-70
71,CNN,0.0,1.0,0.0,0.0,2018-08-13 05:06:36+00:00,-71
72,CNN,0.0,1.0,0.0,0.0,2018-08-13 04:13:43+00:00,-72
73,CNN,0.0,1.0,0.0,0.0,2018-08-13 04:04:04+00:00,-73
74,CNN,0.157,0.843,0.0,0.4215,2018-08-13 03:57:04+00:00,-74
75,CNN,0.081,0.919,0.0,0.128,2018-08-13 03:49:06+00:00,-75
